id,title,text
519,"But proud in apparition,","That woman and her boy
Pass back and forth before my brain,
As ever in the sky."
520,Poem 520,XXXIV.
521,"The daisy follows soft the sun,","And when his golden walk is done,
Sits shyly at his feet.
He, waking, finds the flower near.
""Wherefore, marauder, art thou here?""
""Because, sir, love is sweet!"""
522,"We are the flower, Thou the sun!","Forgive us, if as days decline,
We nearer steal to Thee, –
Enamoured of the parting west,
The peace, the flight, the amethyst,
Night's possibility!"
523,Poem 523,XXXV.
524,Poem 524,EMANCIPATION.
525,"No rack can torture me,","My soul's at liberty
Behind this mortal bone
There knits a bolder one"
526,"You cannot prick with saw,","Nor rend with scymitar.
Two bodies therefore be;
Bind one, and one will flee."
527,The eagle of his nest,"No easier divest
And gain the sky,
Than mayest thou,"
528,Except thyself may be,"Thine enemy;
Captivity is consciousness,
So's liberty."
529,Poem 529,XXXVI.
530,Poem 530,LOST.
531,I lost a world the other day.,"Has anybody found?
You'll know it by the row of stars
Around its forehead bound."
532,A rich man might not notice it;,"Yet to my frugal eye
Of more esteem than ducats.
Oh, find it, sir, for me!"
533,Poem 533,XXXVII.
534,If I shouldn't be alive,"When the robins come,
Give the one in red cravat
A memorial crumb."
535,"If I couldn't thank you,","Being just asleep,
You will know I'm trying
With my granite lip!"
536,Poem 536,XXXVIII.
537,"Sleep is supposed to be,","By souls of sanity,
The shutting of the eye."
538,Sleep is the station grand,"Down which on either hand
The hosts of witness stand!"
539,"Morn is supposed to be,","By people of degree,
The breaking of the day."
540,Morning has not occurred!,"That shall aurora be
East of eternity;"
541,"One with the banner gay,","One in the red array, –
That is the break of day."
542,Poem 542,XXXIX.
543,"I shall know why, when time is over,","And I have ceased to wonder why;
Christ will explain each separate anguish
In the fair schoolroom of the sky."
544,"He will tell me what Peter promised,","And I, for wonder at his woe,
I shall forget the drop of anguish
That scalds me now, that scalds me now."
545,Poem 545,XL.
546,"I never lost as much but twice,","And that was in the sod;
Twice have I stood a beggar
Before the door of God!"
547,"Angels, twice descending,","Reimbursed my store.
Burglar, banker, father,
I am poor once more!"
548,POEMS,"by EMILY DICKINSON
Second Series"
549,Poem 549,Edited by two of her friends
550,Poem 550,MABEL LOOMIS TODD and T.W. HIGGINSON
551,Poem 551,PREFACE
552,Poem 552,"The eagerness with which the first volume of Emily Dickinson's poems has been read shows very clearly that all our alleged modern artificiality does not prevent a prompt appreciation of the qualities of directness and simplicity in approaching the greatest themes,–life and love and death. That ""irresistible needle–touch,"" as one of her best critics has called it, piercing at once the very core of a thought, has found a response as wide and sympathetic as it has been unexpected even to those who knew best her compelling power. This second volume, while open to the same criticism as to form with its predecessor, shows also the same shining beauties."
553,Poem 553,"Although Emily Dickinson had been in the habit of sending occasional poems to friends and correspondents, the full extent of her writing was by no means imagined by them. Her friend ""H.H."" must at least have suspected it, for in a letter dated 5th September, 1884, she wrote:–"
554,Poem 554,"MY DEAR FRIEND,– What portfolios full of verses you must have! It is a cruel wrong to your ""day and generation"" that you will not give them light."
555,Poem 555,"If such a thing should happen as that I should outlive you, I wish you would make me your literary legatee and executor. Surely after you are what is called ""dead"" you will be willing that the poor ghosts you have left behind should be cheered and pleased by your verses, will you not? You ought to be. I do not think we have a right to withhold from the world a word or a thought any more than a deed which might help a single soul. . . ."
556,Poem 556,"Truly yours,"
557,Poem 557,HELEN JACKSON.
558,Poem 558,"The ""portfolios"" were found, shortly after Emily Dickinson's death, by her sister and only surviving housemate. Most of the poems had been carefully copied on sheets of note–paper, and tied in little fascicules, each of six or eight sheets. While many of them bear evidence of having been thrown off at white heat, still more had received thoughtful revision. There is the frequent addition of rather perplexing foot–notes, affording large choice of words and phrases. And in the copies which she sent to friends, sometimes one form, sometimes another, is found to have been used. Without important exception, her friends have generously placed at the disposal of the Editors any poems they had received from her; and these have given the obvious advantage of comparison among several renderings of the same verse."
559,Poem 559,"To what further rigorous pruning her verses would have been subjected had she published them herself, we cannot know. They should be regarded in many cases as merely the first strong and suggestive sketches of an artist, intended to be embodied at some time in the finished picture."
560,Poem 560,"Emily Dickinson appears to have written her first poems in the winter of 1862. In a letter to one of the present Editors the April following, she says, ""I made no verse, but one or two, until this winter."""
561,Poem 561,"The handwriting was at first somewhat like the delicate, running Italian hand of our elder gentlewomen; but as she advanced in breadth of thought, it grew bolder and more abrupt, until in her latest years each letter stood distinct and separate from its fellows. In most of her poems, particularly the later ones, everything by way of punctuation was discarded, except numerous dashes; and all important words began with capitals. The effect of a page of her more recent manuscript is exceedingly quaint and strong. The fac–simile given in the present volume is from one of the earlier transition periods. Although there is nowhere a date, the handwriting makes it possible to arrange the poems with general chronologic accuracy."
562,Poem 562,"As a rule, the verses were without titles; but ""A Country Burial,"" ""A Thunder–Storm,"" ""The Humming–Bird,"" and a few others were named by their author, frequently at the end,–sometimes only in the accompanying note, if sent to a friend."
563,Poem 563,"The variation of readings, with the fact that she often wrote in pencil and not always clearly, have at times thrown a good deal of responsibility upon her Editors. But all interference not absolutely inevitable has been avoided. The very roughness of her rendering is part of herself, and not lightly to be touched; for it seems in many cases that she intentionally avoided the smoother and more usual rhymes."
564,Poem 564,"Like impressionist pictures, or Wagner's rugged music, the very absence of conventional form challenges attention. In Emily Dickinson's exacting hands, the especial, intrinsic fitness of a particular order of words might not be sacrificed to anything virtually extrinsic; and her verses all show a strange cadence of inner rhythmical music. Lines are always daringly constructed, and the ""thought–rhyme"" appears frequently,–appealing, indeed, to an unrecognized sense more elusive than hearing."
565,Poem 565,"Emily Dickinson scrutinized everything with clear–eyed frankness. Every subject was proper ground for legitimate study, even the sombre facts of death and burial, and the unknown life beyond. She touches these themes sometimes lightly, sometimes almost humorously, more often with weird and peculiar power; but she is never by any chance frivolous or trivial. And while, as one critic has said, she may exhibit toward God ""an Emersonian self–possession,"" it was because she looked upon all life with a candor as unprejudiced as it is rare."
566,Poem 566,"She had tried society and the world, and found them lacking. She was not an invalid, and she lived in seclusion from no love–disappointment. Her life was the normal blossoming of a nature introspective to a high degree, whose best thought could not exist in pretence."
567,Poem 567,"Storm, wind, the wild March sky, sunsets and dawns; the birds and bees, butterflies and flowers of her garden, with a few trusted human friends, were sufficient companionship. The coming of the first robin was a jubilee beyond crowning of monarch or birthday of pope; the first red leaf hurrying through ""the altered air,"" an epoch. Immortality was close about her; and while never morbid or melancholy, she lived in its presence."
568,Poem 568,MABEL LOOMIS TODD.
569,Poem 569,"AMHERST, MASSACHUSETTS,"
570,Poem 570,"August, 1891."
571,My nosegays are for captives;,"Dim, long–expectant eyes,
Fingers denied the plucking,
Patient till paradise,"
572,"To such, if they should whisper","Of morning and the moor,
They bear no other errand,
And I, no other prayer."
573,Poem 573,I. LIFE.
574,Poem 574,I.
575,I'm nobody! Who are you?,"Are you nobody, too?
Then there 's a pair of us – don't tell!
They 'd banish us, you know."
576,How dreary to be somebody!,"How public, like a frog
To tell your name the livelong day
To an admiring bog!"
577,Poem 577,II.
578,I bring an unaccustomed wine,"To lips long parching, next to mine,
And summon them to drink."
579,"Crackling with fever, they essay;","I turn my brimming eyes away,
And come next hour to look."
580,The hands still hug the tardy glass;,"The lips I would have cooled, alas!
Are so superfluous cold,"
581,I would as soon attempt to warm,"The bosoms where the frost has lain
Ages beneath the mould."
582,Some other thirsty there may be,"To whom this would have pointed me
Had it remained to speak."
583,And so I always bear the cup,"If, haply, mine may be the drop
Some pilgrim thirst to slake, –"
584,"If, haply, any say to me,","""Unto the little, unto me,""
When I at last awake."
585,Poem 585,III.
586,"The nearest dream recedes, unrealized.","The heaven we chase
Like the June bee
Before the school–boy
Invites the race;
Stoops to an easy clover –
Dips – evades – teases – deploys;
Then to the royal clouds
Lifts his light pinnace
Heedless of the boy
Staring, bewildered, at the mocking sky."
587,"Homesick for steadfast honey,","Ah! the bee flies not
That brews that rare variety."
588,Poem 588,IV.
589,"We play at paste,","Till qualified for pearl,
Then drop the paste,
And deem ourself a fool.
The shapes, though, were similar,
And our new hands
Learned gem–tactics
Practising sands."
590,Poem 590,V.
591,I found the phrase to every thought,"I ever had, but one;
And that defies me, – as a hand
Did try to chalk the sun"
592,To races nurtured in the dark; –,"How would your own begin?
Can blaze be done in cochineal,
Or noon in mazarin?"
593,Poem 593,VI.
594,Poem 594,HOPE.
595,Hope is the thing with feathers,"That perches in the soul,
And sings the tune without the words,
And never stops at all,"
596,And sweetest in the gale is heard;,"And sore must be the storm
That could abash the little bird
That kept so many warm."
597,"I 've heard it in the chillest land,","And on the strangest sea;
Yet, never, in extremity,
It asked a crumb of me."
598,Poem 598,VII.
599,Poem 599,THE WHITE HEAT.
600,Dare you see a soul at the white heat?,"Then crouch within the door.
Red is the fire's common tint;
But when the vivid ore"
601,"Has sated flame's conditions,","Its quivering substance plays
Without a color but the light
Of unanointed blaze."
602,"Least village boasts its blacksmith,","Whose anvil's even din
Stands symbol for the finer forge
That soundless tugs within,"
603,Refining these impatient ores,"With hammer and with blaze,
Until the designated light
Repudiate the forge."
604,Poem 604,VIII.
605,Poem 605,TRIUMPHANT.
606,"Who never lost, are unprepared","A coronet to find;
Who never thirsted, flagons
And cooling tamarind."
607,Who never climbed the weary league –,"Can such a foot explore
The purple territories
On Pizarro's shore?"
608,How many legions overcome?,"The emperor will say.
How many colors taken
On Revolution Day?"
609,How many bullets bearest?,"The royal scar hast thou?
Angels, write ""Promoted""
On this soldier's brow!"
610,Poem 610,IX.
611,Poem 611,THE TEST.
612,"I can wade grief,","Whole pools of it, –
I 'm used to that.
But the least push of joy
Breaks up my feet,
And I tip – drunken.
Let no pebble smile,
'T was the new liquor, –
That was all!"
613,"Power is only pain,","Stranded, through discipline,
Till weights will hang.
Give balm to giants,
And they 'll wilt, like men.
Give Himmaleh, –
They 'll carry him!"
614,Poem 614,X.
615,Poem 615,ESCAPE.
616,"I never hear the word ""escape""","Without a quicker blood,
A sudden expectation,
A flying attitude."
617,I never hear of prisons broad,"By soldiers battered down,
But I tug childish at my bars, –
Only to fail again!"
618,Poem 618,XI.
619,Poem 619,COMPENSATION.
620,For each ecstatic instant,"We must an anguish pay
In keen and quivering ratio
To the ecstasy."
621,For each beloved hour,"Sharp pittances of years,
Bitter contested farthings
And coffers heaped with tears."
622,Poem 622,XII.
623,Poem 623,THE MARTYRS.
624,Through the straight pass of suffering,"The martyrs even trod,
Their feet upon temptation,
Their faces upon God."
625,"A stately, shriven company;","Convulsion playing round,
Harmless as streaks of meteor
Upon a planet's bound."
626,Their faith the everlasting troth;,"Their expectation fair;
The needle to the north degree
Wades so, through polar air."
627,Poem 627,XIII.
628,Poem 628,A PRAYER.
629,"I meant to have but modest needs,","Such as content, and heaven;
Within my income these could lie,
And life and I keep even."
630,"But since the last included both,","It would suffice my prayer
But just for one to stipulate,
And grace would grant the pair."
631,"And so, upon this wise I prayed, –","Great Spirit, give to me
A heaven not so large as yours,
But large enough for me."
632,A smile suffused Jehovah's face;,"The cherubim withdrew;
Grave saints stole out to look at me,
And showed their dimples, too."
633,"I left the place with all my might, –","My prayer away I threw;
The quiet ages picked it up,
And Judgment twinkled, too,"
634,That one so honest be extant,"As take the tale for true
That ""Whatsoever you shall ask,
Itself be given you."""
635,"But I, grown shrewder, scan the skies","With a suspicious air, –
As children, swindled for the first,
All swindlers be, infer."
636,Poem 636,XIV.
637,The thought beneath so slight a film,"Is more distinctly seen, –
As laces just reveal the surge,
Or mists the Apennine."
638,Poem 638,XV.
639,The soul unto itself,"Is an imperial friend, –
Or the most agonizing spy
An enemy could send."
640,"Secure against its own,","No treason it can fear;
Itself its sovereign, of itself
The soul should stand in awe."
641,Poem 641,XVI.
642,Surgeons must be very careful,"When they take the knife!
Underneath their fine incisions
Stirs the culprit, – Life!"
643,Poem 643,XVII.
644,Poem 644,THE RAILWAY TRAIN.
645,"I like to see it lap the miles,","And lick the valleys up,
And stop to feed itself at tanks;
And then, prodigious, step"
646,"Around a pile of mountains,","And, supercilious, peer
In shanties by the sides of roads;
And then a quarry pare"
647,"To fit its sides, and crawl between,","Complaining all the while
In horrid, hooting stanza;
Then chase itself down hill"
648,And neigh like Boanerges;,"Then, punctual as a star,
Stop – docile and omnipotent –
At its own stable door."
649,Poem 649,XVIII.
650,Poem 650,THE SHOW.
651,"The show is not the show,","But they that go.
Menagerie to me
My neighbor be.
Fair play –
Both went to see."
652,Poem 652,XIX.
653,Delight becomes pictorial,"When viewed through pain, –
More fair, because impossible
That any gain."
654,The mountain at a given distance,"In amber lies;
Approached, the amber flits a little, –
And that 's the skies!"
655,Poem 655,XX.
656,A thought went up my mind to–day,"That I have had before,
But did not finish, – some way back,
I could not fix the year,"
657,"Nor where it went, nor why it came","The second time to me,
Nor definitely what it was,
Have I the art to say."
658,"But somewhere in my soul, I know","I 've met the thing before;
It just reminded me – 't was all –
And came my way no more."
659,Poem 659,XXI.
660,Is Heaven a physician?,"They say that He can heal,
But medicine posthumous
Is unavailable."
661,Is Heaven an exchequer?,"They speak of what we owe;
But that negotiation
I 'm not a party to."
662,Poem 662,XXII.
663,Poem 663,THE RETURN.
664,"Though I get home how late, how late!","So I get home, 't will compensate.
Better will be the ecstasy
That they have done expecting me,
When, night descending, dumb and dark,
They hear my unexpected knock.
Transporting must the moment be,
Brewed from decades of agony!"
665,"To think just how the fire will burn,","Just how long–cheated eyes will turn
To wonder what myself will say,
And what itself will say to me,
Beguiles the centuries of way!"
666,Poem 666,XXIII.
667,"A poor torn heart, a tattered heart,","That sat it down to rest,
Nor noticed that the ebbing day
Flowed silver to the west,
Nor noticed night did soft descend
Nor constellation burn,
Intent upon the vision
Of latitudes unknown."
668,"The angels, happening that way,","This dusty heart espied;
Tenderly took it up from toil
And carried it to God.
There, – sandals for the barefoot;
There, – gathered from the gales,
Do the blue havens by the hand
Lead the wandering sails."
669,Poem 669,XXIV.
670,Poem 670,TOO MUCH.
671,"I should have been too glad, I see,","Too lifted for the scant degree
Of life's penurious round;
My little circuit would have shamed
This new circumference, have blamed
The homelier time behind."
672,"I should have been too saved, I see,","Too rescued; fear too dim to me
That I could spell the prayer
I knew so perfect yesterday, –
That scalding one, ""Sabachthani,""
Recited fluent here."
673,"Earth would have been too much, I see,","And heaven not enough for me;
I should have had the joy
Without the fear to justify, –
The palm without the Calvary;
So, Saviour, crucify."
674,"Defeat whets victory, they say;","The reefs in old Gethsemane
Endear the shore beyond.
'T is beggars banquets best define;
'T is thirsting vitalizes wine, –
Faith faints to understand."
675,Poem 675,XXV.
676,Poem 676,SHIPWRECK.
677,"It tossed and tossed, –","A little brig I knew, –
O'ertook by blast,
It spun and spun,
And groped delirious, for morn."
678,"It slipped and slipped,","As one that drunken stepped;
Its white foot tripped,
Then dropped from sight."
679,"Ah, brig, good–night","To crew and you;
The ocean's heart too smooth, too blue,
To break for you."
680,Poem 680,XXVI.
681,"Victory comes late,","And is held low to freezing lips
Too rapt with frost
To take it.
How sweet it would have tasted,
Just a drop!
Was God so economical?
His table 's spread too high for us
Unless we dine on tip–toe.
Crumbs fit such little mouths,
Cherries suit robins;
The eagle's golden breakfast
Strangles them.
God keeps his oath to sparrows,
Who of little love
Know how to starve!"
682,Poem 682,XXVII.
683,Poem 683,ENOUGH.
684,"God gave a loaf to every bird,","But just a crumb to me;
I dare not eat it, though I starve, –
My poignant luxury
To own it, touch it, prove the feat
That made the pellet mine, –
Too happy in my sparrow chance
For ampler coveting."
685,"It might be famine all around,","I could not miss an ear,
Such plenty smiles upon my board,
My garner shows so fair.
I wonder how the rich may feel, –
An Indiaman – an Earl?
I deem that I with but a crumb
Am sovereign of them all."
686,Poem 686,XXVIII.
687,Experiment to me,"Is every one I meet.
If it contain a kernel?
The figure of a nut"
688,"Presents upon a tree,","Equally plausibly;
But meat within is requisite,
To squirrels and to me."
689,Poem 689,XXIX.
690,Poem 690,MY COUNTRY'S WARDROBE.
691,"My country need not change her gown,","Her triple suit as sweet
As when 't was cut at Lexington,
And first pronounced ""a fit."""
692,"Great Britain disapproves ""the stars;""","Disparagement discreet, –
There 's something in their attitude
That taunts her bayonet."
693,Poem 693,XXX.
694,Faith is a fine invention,"For gentlemen who see;
But microscopes are prudent
In an emergency!"
695,Poem 695,XXXI.
696,"Except the heaven had come so near,","So seemed to choose my door,
The distance would not haunt me so;
I had not hoped before."
697,But just to hear the grace depart,"I never thought to see,
Afflicts me with a double loss;
'T is lost, and lost to me."
698,Poem 698,XXXII.
699,Portraits are to daily faces,"As an evening west
To a fine, pedantic sunshine
In a satin vest."
700,Poem 700,XXXIII.
701,Poem 701,THE DUEL.
702,I took my power in my hand.,"And went against the world;
'T was not so much as David had,
But I was twice as bold."
703,"I aimed my pebble, but myself","Was all the one that fell.
Was it Goliath was too large,
Or only I too small?"
704,Poem 704,XXXIV.
705,A shady friend for torrid days,"Is easier to find
Than one of higher temperature
For frigid hour of mind."
706,The vane a little to the east,"Scares muslin souls away;
If broadcloth breasts are firmer
Than those of organdy,"
707,Who is to blame? The weaver?,"Ah! the bewildering thread!
The tapestries of paradise
So notelessly are made!"
708,Poem 708,XXXV.
709,Poem 709,THE GOAL.
710,Each life converges to some centre,"Expressed or still;
Exists in every human nature
A goal,"
711,"Admitted scarcely to itself, it may be,","Too fair
For credibility's temerity
To dare."
712,"Adored with caution, as a brittle heaven,","To reach
Were hopeless as the rainbow's raiment
To touch,"
713,"Yet persevered toward, surer for the distance;","How high
Unto the saints' slow diligence
The sky!"
714,"Ungained, it may be, by a life's low venture,","But then,
Eternity enables the endeavoring
Again."
715,Poem 715,XXXVI.
716,Poem 716,SIGHT.
717,"Before I got my eye put out,","I liked as well to see
As other creatures that have eyes,
And know no other way."
718,"But were it told to me, to–day,","That I might have the sky
For mine, I tell you that my heart
Would split, for size of me."
719,"The meadows mine, the mountains mine, –","All forests, stintless stars,
As much of noon as I could take
Between my finite eyes."
720,"The motions of the dipping birds,","The lightning's jointed road,
For mine to look at when I liked, –
The news would strike me dead!"
721,"So safer, guess, with just my soul","Upon the window–pane
Where other creatures put their eyes,
Incautious of the sun."
722,Poem 722,XXXVII.
723,Talk with prudence to a beggar,"Of 'Potosi' and the mines!
Reverently to the hungry
Of your viands and your wines!"
724,"Cautious, hint to any captive","You have passed enfranchised feet!
Anecdotes of air in dungeons
Have sometimes proved deadly sweet!"
725,Poem 725,XXXVIII.
726,Poem 726,THE PREACHER.
727,"He preached upon ""breadth"" till it argued him narrow, –","The broad are too broad to define;
And of ""truth"" until it proclaimed him a liar, –
The truth never flaunted a sign."
728,Simplicity fled from his counterfeit presence,"As gold the pyrites would shun.
What confusion would cover the innocent Jesus
To meet so enabled a man!"
729,Poem 729,XXXIX.
730,Good night! which put the candle out?,"A jealous zephyr, not a doubt.
Ah! friend, you little knew
How long at that celestial wick
The angels labored diligent;
Extinguished, now, for you!"
731,It might have been the lighthouse spark,"Some sailor, rowing in the dark,
Had importuned to see!
It might have been the waning lamp
That lit the drummer from the camp
To purer reveille!"
732,Poem 732,XL.
733,"When I hoped I feared,","Since I hoped I dared;
Everywhere alone
As a church remain;
Spectre cannot harm,
Serpent cannot charm;
He deposes doom,
Who hath suffered him."
734,Poem 734,XLI.
735,Poem 735,DEED.
736,"A deed knocks first at thought,","And then it knocks at will.
That is the manufacturing spot,
And will at home and well."
737,"It then goes out an act,","Or is entombed so still
That only to the ear of God
Its doom is audible."
738,Poem 738,XLII.
739,Poem 739,TIME'S LESSON.
740,"Mine enemy is growing old, –","I have at last revenge.
The palate of the hate departs;
If any would avenge, –"
741,"Let him be quick, the viand flits,","It is a faded meat.
Anger as soon as fed is dead;
'T is starving makes it fat."
742,Poem 742,XLIII.
743,Poem 743,REMORSE.
744,"Remorse is memory awake,","Her companies astir, –
A presence of departed acts
At window and at door."
745,"It's past set down before the soul,","And lighted with a match,
Perusal to facilitate
Of its condensed despatch."
746,"Remorse is cureless, – the disease","Not even God can heal;
For 't is his institution, –
The complement of hell."
747,Poem 747,XLIV.
748,Poem 748,THE SHELTER.
749,"The body grows outside, –","The more convenient way, –
That if the spirit like to hide,
Its temple stands alway"
750,"Ajar, secure, inviting;","It never did betray
The soul that asked its shelter
In timid honesty."
751,Poem 751,XLV.
752,Undue significance a starving man attaches,"To food
Far off; he sighs, and therefore hopeless,
And therefore good."
753,"Partaken, it relieves indeed, but proves us","That spices fly
In the receipt. It was the distance
Was savory."
754,Poem 754,XLVI.
755,"Heart not so heavy as mine,","Wending late home,
As it passed my window
Whistled itself a tune, –"
756,"A careless snatch, a ballad,","A ditty of the street;
Yet to my irritated ear
An anodyne so sweet,"
757,"It was as if a bobolink,","Sauntering this way,
Carolled and mused and carolled,
Then bubbled slow away."
758,It was as if a chirping brook,"Upon a toilsome way
Set bleeding feet to minuets
Without the knowing why."
759,"To–morrow, night will come again,","Weary, perhaps, and sore.
Ah, bugle, by my window,
I pray you stroll once more!"
760,Poem 760,XLVII.
761,"I many times thought peace had come,","When peace was far away;
As wrecked men deem they sight the land
At centre of the sea,"
762,"And struggle slacker, but to prove,","As hopelessly as I,
How many the fictitious shores
Before the harbor lie."
763,Poem 763,XLVIII.
764,Unto my books so good to turn,"Far ends of tired days;
It half endears the abstinence,
And pain is missed in praise."
765,As flavors cheer retarded guests,"With banquetings to be,
So spices stimulate the time
Till my small library."
766,"It may be wilderness without,","Far feet of failing men,
But holiday excludes the night,
And it is bells within."
767,I thank these kinsmen of the shelf;,"Their countenances bland
Enamour in prospective,
And satisfy, obtained."
768,Poem 768,XLIX.
769,"This merit hath the worst, –","It cannot be again.
When Fate hath taunted last
And thrown her furthest stone,"
770,"The maimed may pause and breathe,","And glance securely round.
The deer invites no longer
Than it eludes the hound."
771,Poem 771,L.
772,Poem 772,HUNGER.
773,I had been hungry all the years;,"My noon had come, to dine;
I, trembling, drew the table near,
And touched the curious wine."
774,"'T was this on tables I had seen,","When turning, hungry, lone,
I looked in windows, for the wealth
I could not hope to own."
775,"I did not know the ample bread,","'T was so unlike the crumb
The birds and I had often shared
In Nature's dining–room."
776,"The plenty hurt me, 't was so new, –","Myself felt ill and odd,
As berry of a mountain bush
Transplanted to the road."
777,Nor was I hungry; so I found,"That hunger was a way
Of persons outside windows,
The entering takes away."
778,Poem 778,LI.
779,"I gained it so,","By climbing slow,
By catching at the twigs that grow
Between the bliss and me.
It hung so high,
As well the sky
Attempt by strategy."
780,"I said I gained it, –","This was all.
Look, how I clutch it,
Lest it fall,
And I a pauper go;
Unfitted by an instant's grace
For the contented beggar's face
I wore an hour ago."
781,Poem 781,LII.
782,"To learn the transport by the pain,","As blind men learn the sun;
To die of thirst, suspecting
That brooks in meadows run;"
783,"To stay the homesick, homesick feet","Upon a foreign shore
Haunted by native lands, the while,
And blue, beloved air –"
784,"This is the sovereign anguish,","This, the signal woe!
These are the patient laureates
Whose voices, trained below,"
785,"Ascend in ceaseless carol,","Inaudible, indeed,
To us, the duller scholars
Of the mysterious bard!"
786,Poem 786,LIII.
787,Poem 787,RETURNING.
788,"I years had been from home,","And now, before the door,
I dared not open, lest a face
I never saw before"
789,Stare vacant into mine,"And ask my business there.
My business, – just a life I left,
Was such still dwelling there?"
790,"I fumbled at my nerve,","I scanned the windows near;
The silence like an ocean rolled,
And broke against my ear."
791,I laughed a wooden laugh,"That I could fear a door,
Who danger and the dead had faced,
But never quaked before."
792,I fitted to the latch,"My hand, with trembling care,
Lest back the awful door should spring,
And leave me standing there."
793,I moved my fingers off,"As cautiously as glass,
And held my ears, and like a thief
Fled gasping from the house."
794,Poem 794,LIV.
795,Poem 795,PRAYER.
796,Prayer is the little implement,"Through which men reach
Where presence is denied them.
They fling their speech"
797,By means of it in God's ear;,"If then He hear,
This sums the apparatus
Comprised in prayer."
798,Poem 798,LV.
799,I know that he exists,"Somewhere, in silence.
He has hid his rare life
From our gross eyes."
800,"'T is an instant's play,","'T is a fond ambush,
Just to make bliss
Earn her own surprise!"
801,But should the play,"Prove piercing earnest,
Should the glee glaze
In death's stiff stare,"
802,Would not the fun,"Look too expensive?
Would not the jest
Have crawled too far?"
803,Poem 803,LVI.
804,Poem 804,MELODIES UNHEARD.
805,Musicians wrestle everywhere:,"All day, among the crowded air,
I hear the silver strife;
And – waking long before the dawn –
Such transport breaks upon the town
I think it that ""new life!"""
806,"It is not bird, it has no nest;","Nor band, in brass and scarlet dressed,
Nor tambourine, nor man;
It is not hymn from pulpit read, –
The morning stars the treble led
On time's first afternoon!"
807,Some say it is the spheres at play!,"Some say that bright majority
Of vanished dames and men!
Some think it service in the place
Where we, with late, celestial face,
Please God, shall ascertain!"
808,Poem 808,LVII.
809,Poem 809,CALLED BACK.
810,Just lost when I was saved!,"Just felt the world go by!
Just girt me for the onset with eternity,
When breath blew back,
And on the other side
I heard recede the disappointed tide!"
811,"Therefore, as one returned, I feel,","Odd secrets of the line to tell!
Some sailor, skirting foreign shores,
Some pale reporter from the awful doors
Before the seal!"
812,"Next time, to stay!","Next time, the things to see
By ear unheard,
Unscrutinized by eye."
813,"Next time, to tarry,","While the ages steal, –
Slow tramp the centuries,
And the cycles wheel."
814,Poem 814,II. LOVE.
815,Poem 815,I.
816,Poem 816,CHOICE.
817,Of all the souls that stand create,"I have elected one.
When sense from spirit files away,
And subterfuge is done;"
818,When that which is and that which was,"Apart, intrinsic, stand,
And this brief tragedy of flesh
Is shifted like a sand;"
819,When figures show their royal front,"And mists are carved away, –
Behold the atom I preferred
To all the lists of clay!"
820,Poem 820,II.
821,"I have no life but this,","To lead it here;
Nor any death, but lest
Dispelled from there;"
822,"Nor tie to earths to come,","Nor action new,
Except through this extent,
The realm of you."
823,Poem 823,III.
824,Your riches taught me poverty.,"Myself a millionnaire
In little wealths, – as girls could boast, –
Till broad as Buenos Ayre,"
825,You drifted your dominions,"A different Peru;
And I esteemed all poverty,
For life's estate with you."
826,"Of mines I little know, myself,","But just the names of gems, –
The colors of the commonest;
And scarce of diadems"
827,"So much that, did I meet the queen,","Her glory I should know:
But this must be a different wealth,
To miss it beggars so."
828,I 'm sure 't is India all day,"To those who look on you
Without a stint, without a blame, –
Might I but be the Jew!"
829,"I 'm sure it is Golconda,","Beyond my power to deem, –
To have a smile for mine each day,
How better than a gem!"
830,"At least, it solaces to know","That there exists a gold,
Although I prove it just in time
Its distance to behold!"
831,"It 's far, far treasure to surmise,","And estimate the pearl
That slipped my simple fingers through
While just a girl at school!"
832,Poem 832,IV.
833,Poem 833,THE CONTRACT.
834,"I gave myself to him,","And took himself for pay.
The solemn contract of a life
Was ratified this way."
835,"The wealth might disappoint,","Myself a poorer prove
Than this great purchaser suspect,
The daily own of Love"
836,Depreciate the vision;,"But, till the merchant buy,
Still fable, in the isles of spice,
The subtle cargoes lie."
837,"At least, 't is mutual risk, –","Some found it mutual gain;
Sweet debt of Life, – each night to owe,
Insolvent, every noon."
838,Poem 838,V.
839,Poem 839,THE LETTER.
840,"""Going to him! Happy letter! Tell him –","Tell him the page I didn't write;
Tell him I only said the syntax,
And left the verb and the pronoun out.
Tell him just how the fingers hurried,
Then how they waded, slow, slow, slow;
And then you wished you had eyes in your pages,
So you could see what moved them so."
841,"""Tell him it wasn't a practised writer,","You guessed, from the way the sentence toiled;
You could hear the bodice tug, behind you,
As if it held but the might of a child;
You almost pitied it, you, it worked so.
Tell him – No, you may quibble there,
For it would split his heart to know it,
And then you and I were silenter."
842,"""Tell him night finished before we finished,","And the old clock kept neighing 'day!'
And you got sleepy and begged to be ended –
What could it hinder so, to say?
Tell him just how she sealed you, cautious,
But if he ask where you are hid
Until to–morrow, – happy letter!
Gesture, coquette, and shake your head!"""
843,Poem 843,VI.
844,The way I read a letter 's this:,"'T is first I lock the door,
And push it with my fingers next,
For transport it be sure."
845,And then I go the furthest off,"To counteract a knock;
Then draw my little letter forth
And softly pick its lock."
846,"Then, glancing narrow at the wall,","And narrow at the floor,
For firm conviction of a mouse
Not exorcised before,"
